Geneid	F1_1	F1_2	F1_3	ND_1	ND_2	ND_3
Drak	1883	1700	1134	1973	1631	1788
CG33235	1	1	1	1	1	1
HP5	492	480	416	423	473	489
Gs2	34601	34896	37688	33483	34830	32455
dlg1	6320	6476	5661	5941	6129	6084
spri	1340	1651	1271	1197	1364	1380
PPP4R2r	849	1027	950	843	933	900
alpha-Man-Ia	2952	2782	2344	3013	2810	2845
AP-1gamma	2044	2036	1695	2072	2065	2161
Moe	9454	9342	8648	9086	9206	8892
CG12075	868	885	629	952	750	762
CG12065	1363	1534	1322	1339	1662	1433
Trf4-1	1515	1670	1775	1551	1580	1594
Nrg	3609	3918	2773	3501	3668	3498
otu	11	10	11	8	8	60
CG33223	4	5	5	6	6	10
Trf2	3058	2876	2947	2561	2626	2700
sdt	5215	5430	4503	4822	4720	4837
Gclc	2086	2096	1820	1836	2041	2184
CG2258	1466	1426	1310	1374	1422	1557
fs(1)h	4230	4366	4030	3794	3873	4024
l(1)G0193	2132	2433	2214	2124	2399	2377
Tom40	1460	1481	1511	1464	1497	1230
CHES-1-like	2783	2637	2527	2411	2519	2582
CBP	78	64	67	44	47	79
CG18155	6	12	11	7	6	14
CG34417	8238	8984	8086	8043	8798	8710
Marf	4797	5057	4205	4375	4918	4999
CG3842	541	543	527	541	573	622
CG3566	752	760	854	745	722	718
SK	6307	5761	6016	5628	5300	5118
Rnp4F	616	664	579	655	629	632
CG32767	2575	2394	2396	2284	2212	2442
CG44774	698	722	847	537	624	621
Vap33	8135	8117	8364	7340	7531	7436
CG42541	1471	1461	1568	1346	1308	1417
Tlk	2748	2684	2269	2486	2469	2465
CG32795	1266	1292	1278	1347	1270	1285
Spg7	443	512	450	481	525	481
sgg	9537	10054	8214	8655	9324	9563
PsGEF	4072	4622	3487	4236	4214	4839
svr	5792	5933	5718	6005	6214	5934
CG3857	82	107	112	78	113	98
eIF2Bepsilon	323	349	351	345	388	334
arm	6479	6913	6548	6441	6512	6519
AMPKalpha	2880	3360	2839	2865	3232	3110
eEF1alpha2	16652	17023	18877	16019	16502	17165
ssx	2922	3401	2878	2841	3014	3116
MTPAP	107	134	125	108	130	121
Ptx1	81	98	93	80	79	84
su(w[a])	5307	5553	5013	5172	5467	5452
CG33483	10	12	17	8	16	9
RpS7	18931	21323	23837	19654	21195	18972
janA	333	302	315	298	300	283
Vps13B	252	301	274	249	295	339
CG31038	2637	2712	2481	2591	2730	2541
neo	11	11	15	9	8	12
Dup99B	3	7	5	2	4	5
Trc8	929	1090	895	927	1002	1034
Ptp99A	2240	2343	2049	2044	2169	2117
CG33346	4	2	2	9	3	0
Ald1	44233	43868	40336	43109	45538	37694
Exo84	396	458	395	389	419	415
gro	2048	2137	1766	1893	2046	2101
CCAP-R	88	58	54	60	52	55
LpR1	2185	2699	2188	1995	2265	2388
CG33494	746	809	1061	893	827	1183
Fur1	3078	3202	2823	2805	3044	3232
CG3744	1120	1151	883	1135	1134	1177
Nct	579	647	629	611	735	664
Ets96B	31	27	24	23	22	28
slo	9501	8856	8781	8982	9279	9331
CG6695	491	570	497	510	553	454
puf	1166	1208	960	1257	1124	1173
CG33341	2	0	1	0	0	0
CG33340	1	1	0	0	0	0
CG33339	0	0	0	0	0	0
Myo95E	1147	1118	942	1151	1118	1154
p38c	50	64	74	40	40	60
CG31140	3732	3787	2852	3598	3590	3864
Gdh	10888	11552	9727	11176	10951	9572
CG33111	321	355	341	301	331	308
CG10365	1022	1169	1103	1000	1043	1071
CG33337	2	0	0	0	0	0
p53	121	131	164	124	137	192
CG7071	0	0	0	0	0	0
Sar1	4644	4793	5209	4402	4780	4753
CG42390	1933	1963	1637	1775	2090	1902
ETHR	150	153	167	131	165	191
AnxB9	4548	5125	4632	4408	5576	4658
Mvl	1803	1701	1258	1714	1887	1896
Atpalpha	97966	98951	87568	88731	90713	90084
Fancd2	46	37	42	41	50	60
att-ORFB	0	0	0	0	0	0
DPCoAC	379	471	306	373	350	397
Stat92E	7783	7697	6423	8016	8108	8754
PIG-L	685	695	763	759	760	804
Ask1	1067	984	933	953	1055	1112
ChAT	1810	2037	1891	1833	1961	1755
fru	3033	2833	2089	2838	2720	2211
CG7675	1132	1305	1576	1203	1473	1436
eIF1A	6763	6664	7396	6211	6624	6489
AhcyL2	203	235	239	220	284	246
Ubx	14	16	15	20	16	16
osa	2852	3158	2596	2918	2784	3004
AdamTS-A	575	578	546	674	589	608
alt	3163	3105	2714	2869	2903	3129
Tm1	9253	9440	9214	8871	9335	7955
Dscam3	1072	1026	795	1078	1006	1137
CG33333	0	0	0	0	0	0
dpr9	1717	1667	1538	1665	1703	1623
CG33332	69	69	72	73	78	71
cher	1730	2234	1185	1728	2143	1568
Pxd	27	14	4	7	6	4
CG33331	70	63	92	85	85	60
CG3631	236	253	242	264	246	244
jvl	2526	2426	2351	2582	2383	2610
Sp212	505	507	544	444	491	552
Kif19A	65	61	65	52	47	54
sqd	10639	10056	10158	9821	9683	9813
CG17207	10	4	14	9	13	11
CG5196	601	612	602	646	714	628
CG31368	413	404	431	368	472	460
HisCl1	418	401	466	480	415	482
SelR	3833	3837	4084	3974	3776	3566
CG14693	17	19	24	15	16	21
Cap-H2	527	518	468	496	515	563
Nuak1	1557	1723	1464	1586	1732	1591
GstZ2	1452	1231	1164	1389	1245	1196
Rel	4416	5238	4531	2917	3969	4899
CG8379	582	568	511	563	566	612
CG9801	729	737	744	741	698	835
CG8136	5	15	18	12	16	24
wtrw	2570	2536	2380	2524	2711	2942
CG33325	0	0	0	0	0	0
CG17816	6635	5811	5624	6409	6129	6665
rn	625	586	562	606	572	663
Fer1	272	248	314	258	240	257
Antp	68	66	46	73	66	59
pb	134	157	108	144	125	144
Taf1	1343	1411	1231	1438	1532	1469
CG15186	623	702	487	635	676	687
Atg17	2701	2863	2479	2605	2751	3057
CG1427	697	695	861	683	736	768
Pi4KIIalpha	1034	1020	888	983	1002	1128
CG2519	3098	2958	2727	3353	3151	3548
kkv	106	85	64	60	71	55
mtd	11220	10525	9841	11199	10831	11823
CG33293	29	21	22	32	31	26
Gel	14641	14240	14672	13522	14320	14960
CG33217	311	307	233	274	286	323
CG32447	36	43	41	39	38	33
CG43980	25	15	21	21	22	22
SMC5	313	321	408	286	320	403
CapaR	13	10	12	19	8	12
CG33290	0	2	2	0	1	1
ppk5	30	28	17	24	27	43
Hr78	670	762	747	720	731	744
CG33288	106	126	115	85	97	91
CG10508	1910	2312	2367	1851	2274	1900
CG10512	1138	951	957	1100	967	892
AsnS	1128	1002	794	1065	938	730
CG33284	1	0	0	1	3	0
Fibp	560	604	648	600	558	607
CG33285	0	1	0	0	0	0
siz	2632	2811	2201	2453	2772	2525
Adgf-A	374	414	295	439	365	366
Pep	3084	3721	3045	3142	3797	3246
CycT	2731	2794	2627	2379	2502	2811
Nedd4	3382	3159	2459	3380	3409	3453
CG5059	4062	4278	4989	3732	4694	5318
CG13028	0	1	0	1	1	0
CG5618	2012	2125	2102	2482	2263	2077
CG33257	0	0	0	0	0	0
CG13064	0	0	0	0	0	0
CG5151	567	609	538	507	615	537
elg1	128	150	129	149	130	158
Taf4	2519	2683	2166	2477	2631	2659
CG6244	4	7	3	1	3	2
CG7304	0	1	0	0	0	0
AIMP2	506	523	612	508	549	501
CrebA	735	970	910	708	1035	1017
Eip71CD	842	883	998	1137	914	873
CG12355	721	630	773	666	633	620
CG7276	0	0	0	0	1	1
CG33259	0	0	0	0	0	0
CG7255	164	208	147	146	174	169
ind	1	4	4	5	5	3
Rpn12R	0	0	0	0	0	0
CG17839	5588	5713	5566	5654	5796	6408
CG9425	2457	2612	2689	2512	2453	2650
Trl	580	565	570	589	588	658
CG13476	0	0	0	0	0	0
dlp	723	880	937	725	930	1208
shd	19	9	25	14	17	18
CG33262	0	0	0	0	0	0
CG33263	0	0	1	0	0	1
Or69a	10	19	14	17	10	10
CG10638	501	502	545	465	447	505
SCaMC	3014	3283	2560	2753	2636	3361
Ncc69	2519	2502	2176	2500	2507	2480
app	3415	3210	2204	3544	3244	3076
Muc68E	0	1	0	3	1	1
Ccdc56	0	0	0	0	0	0
CG11658	1262	1182	1319	1218	1095	1389
Sugb	237	232	233	260	225	299
CG18815	3004	3074	2967	2847	3094	2454
Muc68Ca	8	5	11	9	5	5
CG33268	2	3	2	1	0	1
CG33269	3	4	2	3	2	2
CG7377	0	0	1	0	0	1
CG33270	0	0	0	0	0	0
CG33271	0	0	0	0	0	0
CG33489	0	0	0	0	0	0
CG33490	0	0	0	0	0	0
CG33267	58	50	77	67	56	52
CG33272	0	0	0	0	0	0
CG33500	0	0	1	0	2	0
scyl	10304	10794	10352	9152	10093	11165
CG6216	10	10	17	11	13	9
CG43693	1997	2435	2227	2081	2420	2287
NijA	515	558	545	534	580	475
CG33493	1032	996	1229	1121	1112	889
Ilp5	299	337	542	419	403	518
CG8177	5190	4937	4433	5366	5191	5339
Naa60	788	721	791	646	721	712
Pdxk	993	914	1086	1187	972	1143
Clk	1214	1282	841	1150	1295	947
CG32373	106	88	126	86	94	114
PGRP-LA	1019	1083	1274	923	1259	1091
Urm1	84	106	86	100	98	75
Pura	1190	1161	1075	1280	1209	1243
Gug	2343	2402	1934	2321	2155	2462
frac	29	11	26	19	19	14
lqf	9600	9759	8595	9817	9870	9276
Atg18a	1450	1591	1440	1375	1616	1721
CG33278	1	1	0	1	5	3
ldbr	80	99	87	73	84	98
CG42458	314	329	356	357	344	332
smid	943	1053	827	957	1046	1004
velo	1303	1469	1360	1232	1452	1433
dikar	1659	1579	1258	1645	1459	1587
axed	512	474	409	447	451	443
MCU	728	678	683	676	742	714
Usp47	3372	3603	3134	3266	3510	3339
CG12605	4126	4050	3967	3940	4088	3932
Ubi-p63E	6413	5980	6649	6553	6612	6546
Rdh	88	60	43	66	81	84
enc	3234	3301	2989	3171	3118	3384
PIG-B	544	455	493	469	541	516
CG32264	6206	5787	5892	5495	5263	5611
CycJ	55	43	50	54	50	67
kst	4276	3760	3150	4146	3861	3612
ckd	79	71	98	84	80	45
Larp4B	3097	2936	3061	3082	3129	3244
Girdin	671	689	692	646	742	764
CG11486	5215	4989	5622	4875	4696	5014
CG1271	395	424	408	434	469	488
CG33234	48	57	30	55	52	55
CG33233	143	116	67	132	147	141
Pxn	1772	1744	1715	1867	1588	1708
msn	3049	3149	2802	3076	3235	3340
CG16758	3413	4519	3669	3228	2798	2917
Svil	6963	6687	4996	7444	6477	6243
CG1275	1780	1898	2253	1939	1905	2050
zormin	5219	5420	4192	5479	5472	5161
CG42676	227	271	234	230	257	245
Dhc62B	30	42	36	18	31	36
CG13921	391	450	503	399	381	370
nSyb	21544	22817	24226	20698	22224	21240
CG33230	168	169	154	168	165	159
pns	1923	1855	1727	1830	1747	1764
CG32318	0	0	0	0	0	0
trio	4137	4107	3803	4155	4260	4551
CG12038	284	303	369	286	323	325
miple1	5755	5905	6025	5898	6265	5765
E(bx)	2836	2501	2220	2808	2746	2975
CG33229	589	672	361	641	588	650
rno	1186	1093	971	1203	1133	1289
Vdup1	1043	970	1072	1170	1059	886
RpL19	18672	20836	24426	19074	22083	18579
CG33228	132	148	181	156	159	141
Start1	499	504	463	447	560	479
Slik	4440	4329	3773	4621	4510	4667
AANAT1	2921	2602	3128	3238	2761	3152
CG34370	1443	1437	1207	1360	1394	1277
CG5504	395	472	500	435	398	353
CG9294	0	1	1	0	0	1
Pal2	3733	4396	4711	3758	4286	4011
CG33225	4	17	10	2	2	21
CG33226	6	6	1	4	8	4
Fatp2	93	132	117	157	142	125
MESK2	7576	7965	7640	7219	7952	7930
CG9826	1	0	1	1	2	2
Liprin-gamma	3601	3704	3710	3665	3496	3607
ktub	154	183	170	181	161	189
RIC-3	3722	3716	3747	3744	3886	3800
dpr1	1225	1220	1224	1153	1175	1110
HnRNP-K	2902	3130	3104	2675	2962	2774
PCNA	108	69	50	84	40	55
Obp56g	1524	1798	1816	1308	1468	1413
mei-W68	14	19	17	5	14	14
Obp56c	11	1	6	5	5	6
par-1	7387	7218	6772	6947	7029	7517
CG33453	0	0	0	0	1	0
CG33454	0	0	0	0	0	0
Dp1	7613	6340	6115	7035	6418	6133
sbb	2400	2655	2127	2523	2417	2566
olf186-F	1017	926	1132	1066	993	1093
fab1	0	0	0	0	0	0
Sema1b	1978	1986	1589	2075	2191	2001
Patronin	2382	2570	2068	2491	2601	2742
CG4847	2495	2726	2918	2981	3303	3371
EDTP	1389	1374	1192	1395	1302	1405
CG30460	874	914	804	862	976	959
RhoGEF2	2506	2530	1976	2624	2528	2613
CG8963	1719	1883	1664	1544	1657	1699
Ehbp1	2961	2800	2563	2889	3025	2788
mute	359	347	327	330	349	395
Dek	2274	2287	2109	2227	2318	2347
Psi	2179	2441	1948	2210	2527	2262
resilin	48	29	52	32	41	29
Sema2a	1366	1172	1232	1380	1337	1181
CG33459	3	2	3	3	2	2
CG33458	2	5	2	1	6	4
Lis-1	5566	5736	5657	5454	5702	5736
Rho1	7833	8788	8023	7412	7745	7879
casp	1228	1336	1157	1124	1280	1273
Mlf	4527	4463	5050	4397	4708	4237
CG33463	1	0	1	0	1	0
CG33462	0	2	1	0	0	0
CG33461	0	0	0	0	2	0
chn	3953	4059	3477	3851	3761	4040
CG33467	0	0	1	0	0	0
CG10265	130	140	160	149	142	139
CG7639	496	489	612	493	570	511
CG33468	8	24	25	12	6	16
CG33469	28	24	30	5	6	24
tra2	259	294	275	261	281	231
Cpsf160	281	297	217	288	316	332
cact	3318	3611	3463	2881	3132	3332
mam	1745	2039	1618	1655	1729	1852
Obp50a	0	1	1	1	1	0
CG8878	864	962	915	917	1017	1058
CG33470	0	0	0	0	0	0
CG15270	1329	1379	1136	1334	1291	1473
CG33310	7	11	7	7	9	8
FLASH	181	181	166	161	193	195
nompA	67	72	71	66	76	51
CG33309	0	0	0	0	0	0
Cap-G	289	353	269	256	336	353
CG33308	0	0	0	0	0	0
Syx6	1275	1298	1505	1355	1325	1342
CG18420	1	3	0	3	3	2
CG18636	4	2	7	9	5	8
CG13168	38	30	37	44	44	38
shn	1453	1303	1024	1324	1318	1373
elB	712	754	664	712	716	729
Dyrk2	2084	2405	2482	2087	2494	2660
Cyp12d1-d	0	0	0	0	0	0
luna	371	405	321	348	428	401
Obp47a	0	0	0	0	0	0
CG7220	6694	7893	8677	7069	7918	7319
nAChRalpha5	2969	2917	2946	3104	2867	3283
lola	8105	8118	7025	7522	8109	7923
CG33306	1	0	5	1	5	4
CG33307	712	725	911	574	816	615
Cyp49a1	34	33	38	64	60	41
Galphao	7488	6777	7007	7154	7081	7402
CG33474	11	12	3	7	11	19
CG33475	0	1	2	0	2	1
CG33476	0	0	0	0	0	0
CG33477	0	1	0	0	0	0
Ndg	1045	862	587	920	917	573
CAP	5462	5911	5413	5490	5943	5304
Or46a	0	0	0	0	0	0
14-3-3zeta	31389	30821	31598	29139	30187	30138
egr	687	757	811	698	820	697
CG12128	218	214	203	209	236	199
SC35	767	801	944	784	802	741
Mef2	2587	2555	2307	2542	2634	2555
vir-1	12954	15545	15538	13465	15100	13930
Mmp2	1092	1193	1062	1090	1352	1186
CG31705	13327	15160	14910	12450	14245	14269
Ca-beta	3485	3341	2878	3481	3289	3479
brp	6729	6384	5309	6413	6359	6602
alc	1805	2041	1885	1743	1956	1888
Wdr59	294	389	280	249	342	377
CNT2	35	43	26	46	31	41
CG33303	1214	1174	1151	1289	1186	1065
mtt	555	593	510	538	577	620
rho-5	891	989	884	969	954	914
Mal-A6	30	27	16	36	38	31
Cpr31A	0	1	0	0	2	0
CG33301	30	21	49	37	25	29
rnh1	206	202	217	163	212	200
Muc30E	10	10	4	4	9	15
CG12159	404	484	584	419	496	567
nAChRalpha6	5537	5411	6487	5222	5064	5352
CG12822	601	603	604	621	638	611
Corin	1418	1185	1245	1345	1237	1385
CG33299	0	1	1	1	1	0
Pka-C1	7059	7128	6404	6871	6883	7030
Aldh-III	3119	3064	2838	3444	3276	3412
Apoltp	6619	5898	5024	6121	6057	4017
Dscam1	2190	2234	1817	2177	2054	2187
Oatp30B	2191	2132	1543	2155	2007	2152
CG30159	555	606	686	514	568	543
vimar	523	487	485	485	568	521
CG33298	870	880	733	943	910	1026
ppk25	42	57	35	39	41	45
CheB42a	25	24	21	18	24	25
CheB42c	70	73	96	52	81	76
CG3748	1	0	0	0	0	0
CheB42b	4	2	6	4	1	2
Spn42Da	2283	2162	2292	1951	2001	2181
Aasdh	352	379	342	372	395	425
CG42820	0	0	0	0	0	0
CG13384	1231	1351	1167	1407	1461	1426
AlaRS	1110	1089	979	994	1084	941
coro	1780	1953	1945	1733	2058	1753
CG8086	3446	3662	3057	3580	3507	3248
Eb1	2979	3187	3250	2964	3320	3427
Adf1	959	1023	860	861	1012	1043
Pvr	1403	1684	1357	1492	1591	1562
jing	876	870	818	960	872	910
Tbce	789	816	881	829	853	804
CG7231	358	366	433	438	400	368
Atf6	1911	1766	1621	2017	1957	2085
CG33296	198	173	124	174	154	201
Ir41a	3	5	6	8	8	7
Gr28b	22	28	25	26	23	24
CG2225	1251	1416	1196	1339	1444	1407
CG9270	50	66	84	65	79	109
AkhR	895	983	1233	1031	1041	1364
sky	445	445	386	368	435	410
CG9596	142	116	175	130	137	143
CG9331	3604	3107	3089	3508	3226	2544
frj	2338	2353	2285	2437	2572	2418
CheB38a	1	0	0	2	3	0
CheB38b	1	0	0	0	1	1
chic	9374	11254	10412	8574	9332	8848
CG33322	0	1	1	1	0	1
vari	1530	1867	1599	1495	1762	1751
COX4	8034	8879	9203	8694	8500	6867
CG10481	0	0	1	0	1	0
eIF3h	3714	4098	4885	3822	3925	3693
sick	1985	2169	1963	2112	1995	2191
Rtnl1	10002	9485	9033	9728	10281	8650
CG33281	18	16	16	25	14	21
Syt1	19263	19366	16714	18526	19893	19639
bsh	106	88	112	72	99	86
CG13083	2	1	3	1	1	2
brat	1472	1314	1486	1329	1348	1469
colt	1629	1608	1671	1770	1388	1336
Nak	3026	3109	2760	2875	3165	3242
Pgant2	1380	1444	1471	1462	1489	1480
CG31690	334	332	356	303	326	335
mdy	1119	975	696	1133	944	887
Slh	643	609	615	632	621	625
GramD1B	2911	2608	2904	3035	2684	2694
wry	3594	3455	3175	3703	3395	3702
squ	10	7	10	23	8	22
E23	254	307	226	261	285	254
rempA	69	74	75	87	75	107
AP-2alpha	3493	3484	3157	3450	3716	3652
Plc21C	4173	3876	3915	4284	4154	4481
CG3164	5166	5280	4098	5809	5780	6680
Sam-S	6887	6659	6701	6603	7886	5905
Gyf	3953	3878	3947	3773	4038	4093
bt	8919	8039	8145	8469	9140	8065
dati	1689	1657	1486	1637	1459	1529
Hcf	2360	2412	2067	2419	2478	2572
Zip102B	1476	1356	1216	1601	1395	1616
Syt7	3927	3254	3046	3762	3404	3687
NfI	3006	2607	2087	2915	2987	2943
CG1674	3523	3314	3321	3410	3497	3238
anne	8011	7909	6793	8463	8580	9445
l(1)G0196	6593	6011	5581	6643	5931	6147
Cp110	223	219	257	221	261	232
Obp19d	42699	40915	41683	45579	47846	43515
Bx	1272	1301	1231	1211	1253	1244
RhoGAP16F	191	218	200	166	193	173
Gss2	0	0	0	0	0	0
Gss1	0	0	0	0	0	0
CG43658	1312	1237	1262	1316	1381	1453
CG5613	158	162	119	184	163	131
CG8611	214	228	226	202	226	197
CG5445	1114	1290	1155	1092	1203	1228
f	48	46	35	38	55	60
eas	4255	3458	3580	4600	4288	4172
CG43672	3	11	5	3	7	6
Ranbp16	1652	1719	1495	1736	1686	1885
CG33172	59	45	61	47	67	79
CG9213	137	150	163	133	166	129
CG15643	177	141	149	160	143	157
Gmap	843	966	775	936	915	967
CG6299	5	5	5	2	2	3
CG33178	4	4	7	2	3	4
CG33177	125	195	127	169	185	167
CG14414	216	244	319	210	258	248
inaE	1706	1768	1626	1859	1740	1769
Nna1	1676	1614	1532	1643	1588	1388
Ant2	62	70	87	73	85	79
CG17754	677	682	647	655	664	709
CG12118	378	409	425	352	360	387
His3.3B	17676	18499	19530	16377	18556	16852
CG7766	4955	5660	4281	4851	5003	4993
CG10962	179	282	162	357	351	333
CG33181	2827	3187	2955	2699	2967	3042
Tbh	763	763	864	742	706	735
Inx7	51	51	76	66	63	58
C3G	2086	2086	1822	1955	1968	2167
cm	343	343	371	333	371	328
MAPk-Ak2	1649	1752	1789	1595	1669	1689
CG15771	2264	1948	2388	1938	1927	1782
CG33080	850	1018	878	927	978	1075
CG2930	520	514	481	576	611	535
heph	4081	3691	3500	4137	3915	4196
hdc	1713	1741	1727	1473	1641	1674
Tpi	5504	6771	6553	5918	6247	5074
CG11504	331	345	321	296	378	341
Spase12	0	0	0	0	0	0
Doa	4663	4895	5004	4835	5140	5075
WASp	975	1030	830	975	962	995
CG1646	2457	2479	2647	2276	2408	2734
Ppn	7805	6858	5578	7646	6869	5833
CG33213	47	64	67	50	64	47
Gr97a	4	1	2	2	1	0
Hex-t1	0	0	0	0	0	0
LpR2	3358	3726	2833	3070	3263	3902
CG33095	0	0	0	0	0	0
ash2	653	734	782	580	661	688
mask	4662	4830	3841	4594	4539	4986
twin	1323	1326	1264	1222	1252	1246
CG5515	514	490	592	480	515	449
Root	546	857	1014	648	864	1216
eIF4EHP	5560	5589	5840	5299	5427	5231
CG33108	88	93	123	88	85	94
CG12268	186	194	208	224	234	218
sba	1513	1644	1260	1493	1486	1592
sav	236	264	222	187	274	234
CG17119	0	0	0	0	0	0
CG7029	5411	5422	4322	5155	5264	5654
Efa6	4113	4379	3457	4142	4259	4402
CG33110	1153	1350	1402	994	1363	1253
CG33107	131	109	162	137	121	125
CG33093	1	0	0	0	1	2
CG33099	17	27	17	12	7	28
CG7059	280	391	320	195	265	351
P5CDh2	7	1	5	7	2	8
mod(mdg4)	2480	2819	2532	2453	2741	2627
Synd	3464	3695	3694	3776	3793	3659
MtnD	49	33	63	26	31	47
tinc	1551	1404	1164	1519	1389	1385
Nsf2	743	755	727	762	820	833
CG9297	9909	8711	8954	9127	8965	7570
Keap1	256	270	256	272	316	299
gish	4807	4950	4437	4615	5028	5419
B52	6401	6706	7814	6499	7085	6841
pxb	240	239	233	259	240	281
Hsc70-4	30703	36650	37994	34262	37723	31616
Spn88Ea	1784	2201	1850	1619	1953	1971
CG33109	12	545	124	73	7	2523
CG10126	808	1040	999	755	1068	1011
Hsp70Bbb	0	1	2	0	0	0
CG33098	38	46	28	45	38	40
GstD3	459	326	403	315	347	351
mfas	6004	6137	6458	6075	6862	6227
CG31211	3379	3810	3498	3304	3633	3584
Kyat	1356	1317	1524	1377	1411	1144
ClC-a	2994	2963	2690	3209	3152	2793
Csk	2862	2900	2813	2810	2870	2719
sals	677	752	599	683	705	680
pros	11829	11086	12751	10774	10672	10578
Cad86C	282	325	271	305	293	318
CG14691	3	4	4	6	4	9
CG14683	929	966	1091	895	952	951
Syn	8830	9093	8729	9034	9082	9203
CG32939	0	0	0	0	0	0
p24-2	0	0	0	0	1	0
eca	502	543	515	493	522	487
CG8312	1170	1371	1064	1124	1210	1180
Kap-alpha3	4479	4655	4419	4095	4749	4701
CG8176	2001	2126	1883	1939	1942	2137
JHDM2	243	241	221	251	286	266
mRpL47	345	386	415	358	342	294
pum	5172	5130	5268	4893	4964	4998
pyd	5980	5414	4871	6029	5281	5591
aqz	14061	14299	17464	13109	13238	14632
CG33189	8	15	8	15	13	15
CG33191	23	15	15	15	14	15
CG1142	240	207	275	222	219	241
CG1988	1	1	1	2	1	0
Ama	19	32	22	11	22	24
bcd	0	2	2	1	1	9
dpr11	1166	1177	1170	1195	1249	1195
smash	5789	6096	5056	5684	6202	6244
CG32945	0	0	0	0	0	0
CG42724	1911	2054	1719	1877	2051	2051
CG32944	482	481	514	495	530	497
CG12746	973	945	911	1134	1014	929
CG9795	1355	1292	1298	1295	1365	1455
tacc	4244	4254	4186	4278	4512	4421
CG33170	818	661	933	817	877	817
CG33169	152	127	181	116	166	152
IleRS	1133	1114	1089	1031	1185	1076
Glg1	1378	1461	1136	1423	1431	1451
CG33056	880	839	960	826	838	908
CG33054	237	155	238	230	166	191
isoQC	291	301	255	314	288	321
CG5969	181	195	241	190	229	173
in	46	59	45	54	52	58
eRF1	2581	2408	2510	2354	2470	2508
rdgC	4040	4106	4745	4364	4568	5072
Nca	2298	2120	2684	2317	2319	2318
CG7646	2201	1920	1992	2235	1936	2157
wnd	1738	1758	1601	1664	1838	1836
CG33062	0	3	0	0	1	4
CG32206	964	968	927	1041	1100	1023
pip	31	27	22	23	21	27
nes	1562	1387	1455	1521	1543	1554
CG18135	6864	8168	8779	9040	10940	10683
Gorab	209	237	240	189	212	223
CG33051	104	122	138	101	134	111
CG7730	19	21	17	15	14	31
Nc73EF	17291	17291	14396	17940	17842	16581
CG9674	12947	15030	12912	12746	13461	15711
CG9692	2	0	1	0	0	0
CG33158	182	213	205	153	180	197
fax	9737	9847	10601	8839	9056	9307
CG33060	1	2	3	5	4	2
Zn72D	1772	1975	1853	1824	1951	1939
comm3	220	310	263	217	257	258
CG17364	893	824	712	979	798	855
Rgl	1114	1047	939	1119	1181	1107
Ptp69D	684	704	608	761	745	835
Est-P	0	0	0	0	0	0
Est-6	15300	13241	8801	16743	13835	13080
Mocs1	693	633	661	525	556	613
CG6527	0	0	0	1	0	1
CG43897	15581	15941	14021	14741	16547	14521
CG33057	0	0	0	0	0	0
Idh	8840	7440	7682	8814	7974	8296
SrpRbeta	491	494	586	514	474	470
mthl7	0	2	0	1	3	2
Zasp66	7924	8647	8560	7574	8649	7068
mthl6	2	1	3	1	2	6
Mp	1549	1584	1461	1582	1448	1585
CG6282	1607	1528	1614	1580	1475	1671
ergic53	2059	1839	1490	1994	1839	1563
Lcp65Ab2	0	0	0	0	0	0
Lcp65Ae	0	0	0	0	0	0
mthl2	349	300	253	308	412	244
slow	360	338	367	333	374	360
CG33160	5	0	1	2	1	2
CG33159	20	48	41	41	32	44
stet	40	26	24	32	36	35
Ctr9	1734	1770	2282	1692	1894	1745
mthl10	707	759	688	717	836	766
Mlp60A	3465	3550	3645	3510	3821	3048
retn	1029	1188	1106	977	1172	1164
Eglp2	29	29	45	18	22	18
Gr59f	1	0	0	0	1	1
Gr59e	1	1	1	1	1	0
Obp59a	221	285	235	260	258	265
CG30275	0	1	0	0	0	0
CG43325	1	0	1	0	0	0
CG33143	986	950	980	1071	962	1025
VepD	91	82	97	90	115	98
dom	2107	2071	1886	2074	2076	2030
ASPP	1371	1638	1397	1238	1509	1474
grau	324	386	308	331	355	325
CG10543	1943	1919	1664	1685	1735	1768
hbn	104	100	118	113	133	129
Jheh2	2826	2903	2830	3231	3048	2872
CG15097	320	352	378	361	370	379
Hs3st-A	2302	2313	2086	2214	2128	2206
List	516	589	674	596	548	582
CG44434	0	0	0	0	0	0
CG33136	5	0	1	0	2	2
GEFmeso	690	705	644	683	682	719
CG15068	373	487	673	340	526	400
pen-2	126	119	117	113	117	106
MED9	0	0	0	0	0	0
mthl4	39	36	37	49	46	67
mbl	9817	8664	8370	9270	8403	7894
CG33017	0	1	1	1	1	1
calypso	177	192	221	192	236	203
CG4945	197	208	201	191	207	200
Syn2	1526	1423	1488	1610	1507	1622
Asph	1621	1635	1587	1666	1728	1606
Dg	2095	2077	1803	2157	2125	2255
Diap2	1904	2015	1944	1834	2024	2088
bdg	391	461	383	363	435	472
CG12970	8	8	9	4	3	9
Impbeta11	224	284	278	251	262	243
Khc-73	3379	3296	3000	3532	3258	3520
hbs	277	251	260	295	243	315
Su(var)2-HP2	673	623	643	669	700	719
CG6329	12379	11511	10571	11827	12144	11023
CG33156	340	382	376	371	457	334
Kdm4B	90	94	55	104	87	112
CG33137	22	27	22	17	14	18
AGBE	7041	6184	4417	6718	5684	3584
Sans	15	13	16	11	19	22
vis	4	7	5	6	3	2
CG33012	0	0	0	0	0	0
